og_species,og_family,og_longevity,SE_long,Quality,Site,Lat,Lon,alt_m,Habitat,reference,Exotic,self_incom,Nectar,notes,longev_univisit,long_unv_SE,Duration,sources,mean_long_days,og_species_patch
Acosmium.dasycarpum,Fabaceae,1,NA,0,"Brasilia Botanical Garden, Federal Capital (Brazil)",-15.86666667,-47.85,1025 to 1150,Cerrado,Oliveira & Gibbs (2000). Flora 195: 311-329.,NA,SI,1,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Acosmium dasycarpum
Acourtia.runcinata,Asteraceae,5,NA,NA,NA,NA,NA,NA,NA,Cabrera & Dieringer (1992). Am. Midl. Nat. 128: 83-88.,NA,NA,NA,Capitulum: longevity for the single floret.,NA,NA,NA,marcoshighquality,5,Acourtia runcinata
Adansonia.digitata,Malvaceae,1,NA,NA,Kenia,NA,NA,NA,NA,Baum (1995). Ann. MO Bot. Gard. 82: 322-348.,NA,NA,1,Nov-Dec.,NA,NA,NA,marcoshighquality,1,Adansonia digitata
Adansonia.gibbosa,Malvaceae,2 to 4,NA,NA,"Three sites in Crossing and Derby, WA (Australia)",NA,NA,NA,NA,Baum (1995). Ann. MO Bot. Gard. 82: 322-348.,NA,SI,1,Nov-Jan.,NA,NA,NA,marcoshighquality,3,Adansonia gibbosa
Adansonia.grandidieri,Malvaceae,2.5 to 4,NA,NA,"Marofandelia, Morondava (Madagascar)",-20.22,44.54,NA,NA,Baum (1995). Ann. MO Bot. Gard. 82: 322-348.,NA,NA,1,Jun-Aug.,NA,NA,NA,marcoshighquality,3.25,Adansonia grandidieri
Adansonia.madagascariensis,Malvaceae,3 to 4,NA,NA,"Montagnes de Français, Antsiranana (Madagascar)",-12.327,49.4,NA,NA,Baum (1995). Ann. MO Bot. Gard. 82: 322-348.,NA,NA,1,Mar-Apr.,NA,NA,NA,marcoshighquality,3.5,Adansonia madagascariensis
Adansonia.perrieri,Malvaceae,2 to 3,NA,NA,Montagne d'Ambre near Antsiranana (Madagascar),-12.559,49.2,NA,NA,Baum (1995). Ann. MO Bot. Gard. 82: 322-348.,NA,NA,1,Nov-Dec.,NA,NA,NA,marcoshighquality,2.5,Adansonia perrieri
Adansonia.rubrostipa,Malvaceae,1.5 to 3,NA,NA,"Kirindi Forest, Morondava (Madagascar)",-20.06,44.67,NA,NA,Baum (1995). Ann. MO Bot. Gard. 82: 322-348.,NA,NA,1,Feb-Mar.,NA,NA,NA,marcoshighquality,2.25,Adansonia rubrostipa
Adansonia.suarecensis,Malvaceae,0.5 to 3,NA,NA,Antsiranana (Madagascar),-12.365,49.23666667,NA,NA,Baum (1995). Ann. MO Bot. Gard. 82: 322-348.,NA,NA,1,May-Jun. Coordinates are the average of the three sites.,NA,NA,NA,marcoshighquality,1.75,Adansonia suarecensis
Adansonia.za,Malvaceae,1,NA,NA,"Kirindi Forest, Morondava (Madagascar)",-20.06,44.67,NA,NA,Baum (1995). Ann. MO Bot. Gard. 82: 322-348.,NA,NA,1,"Nov-Jan. Coordinates from Kirindi Forest, from where sample dates allow to estimate floral longevity.",NA,NA,NA,marcoshighquality,1,Adansonia za
